0.96,0.29,-0.05
0.96,0.29,-0.05
0.96,0.28,-0.06
0.94,0.36,-0.03
0.97,0.27,-0.01
0.88,0.46,-0.01
0.99,0.25,0.1
0.86,0.49,-0.03
0.98,0.54,-0.06
1.0,0.65,0.05
1.27,0.21,0.27
1.01,0.3,-0.08
1.01,0.38,-0.08
0.49,-0.19,0.18
0.74,0.27,0.77
0.81,-0.23,0.73
-0.03,-0.44,0.18
1.06,0.35,0.06
1.04,0.24,-0.11
0.8,0.56,-0.04
1.4,0.19,0.44
0.66,0.83,0.19
1.28,0.58,-0.08
1.49,0.89,0.37
0.64,0.19,-0.22
0.58,-0.13,0.1
1.54,0.46,1.07
0.5,0.62,0.35
1.06,-0.38,-0.33
0.94,0.58,-0.08
0.81,0.07,-0.03
0.88,0.19,0.01
1.37,0.54,0.1
0.94,0.97,0.1
1.35,0.19,0.01
0.97,0.49,-0.17
0.8,-0.04,-0.08
0.8,0.13,0.46
0.7,0.47,0.21
0.35,-0.77,-0.1
1.19,0.38,0.25
0.75,0.22,0.03
1.03,0.36,0.23
0.96,0.73,0.13
1.18,0.13,-0.16
1.05,0.23,-0.08
0.25,0.0,-0.09
0.98,0.39,1.25
1.01,-0.76,0.02
0.83,0.24,-0.65
1.04,0.15,-0.05
0.82,0.45,0.08
1.06,0.25,0.12
1.03,0.98,0.28
1.31,0.03,-0.1
0.86,0.17,-0.13
0.25,0.01,-0.14
1.67,0.72,1.77
0.96,-0.98,-0.13
1.02,0.32,-0.06
1.09,-0.01,-0.08
0.92,0.4,0.09
1.16,0.51,0.25
1.0,0.88,0.23
1.26,-0.15,-0.1
0.67,0.43,-0.1
0.35,-0.25,-0.03
2.88,0.73,1.11
0.81,-0.18,-0.12
0.99,0.45,0.18
0.91,-0.09,-0.0
0.83,0.26,0.05
1.09,0.59,-0.01
1.2,0.77,0.32
1.1,0.0,-0.08
0.9,0.99,-0.21
0.67,-0.2,-0.25
1.11,-0.49,0.45
0.94,1.23,0.18
0.45,-0.73,-0.12
1.15,0.2,-0.07
0.87,0.01,-0.08
1.08,0.12,0.32
0.87,1.0,-0.12
1.35,-0.05,0.03
1.01,0.6,-0.14
0.91,0.45,-0.08
0.55,-0.15,0.03
1.55,-0.15,0.96
2.5,-0.4,1.1
0.59,-0.06,0.26
0.82,0.0,-0.05
0.95,0.05,0.08
1.04,0.58,-0.03
1.05,1.09,0.25
1.13,-0.04,-0.07
0.9,0.55,-0.17
0.63,-0.24,0.01
0.58,0.2,0.52
1.35,-0.05,-0.22
0.61,-0.17,-0.35
1.35,0.01,-0.15
0.85,0.52,-0.46
1.45,0.27,-0.01
1.14,0.66,0.01
1.21,-0.26,0.54
1.19,0.23,0.2
0.79,0.16,0.1
0.37,0.1,0.32
0.99,0.71,0.62
0.84,0.48,-0.81
0.98,0.24,0.05
0.86,0.42,0.19
0.94,0.21,0.01
1.09,0.59,0.27
1.17,0.21,0.05
1.0,0.56,-0.07
0.7,-0.08,-0.02
0.51,0.12,0.37
0.77,-0.62,0.14
0.67,0.2,-0.31
0.81,0.26,0.08
0.98,0.35,-0.06
1.05,-0.02,-0.04
1.12,0.42,0.11
1.22,0.6,0.03
1.02,0.04,0.04
1.06,0.59,-0.13
0.89,-0.06,0.09
0.41,-0.34,0.24
1.87,1.11,0.66
0.68,-0.76,-0.26
0.93,0.18,-0.01
0.8,0.21,-0.03
1.25,0.19,0.19
0.87,0.71,0.05
1.23,0.11,0.12
1.06,0.42,-0.1
0.72,0.01,-0.06
0.21,-0.14,0.34
0.87,-0.52,0.04
0.94,0.58,-0.35
0.97,0.01,0.01
0.94,0.24,0.03
0.92,0.18,0.06
0.82,0.54,0.07
1.25,0.5,-0.01
1.28,0.11,-0.11
1.06,0.05,0.06
0.43,-0.26,0.12
1.44,0.61,1.06
1.66,-0.62,-0.53
0.29,-0.23,-0.21
1.2,0.31,-0.02
0.75,0.42,-0.0
1.08,0.3,0.08
1.37,0.59,0.53
1.11,0.32,-0.24
0.46,-0.08,-0.01
0.37,0.06,0.15
2.41,0.62,1.22
1.06,0.01,0.24
0.83,0.21,-0.34
0.97,0.07,-0.04
0.84,0.37,-0.04
1.23,0.24,0.02
1.42,0.93,0.19
0.89,0.17,-0.18
